Emissies van broeikasgassen berekend volgens de IPCC-voorschriften;;;;;;;;;;;;;;;;;;;
Onderwerpen_1;Bronnen;Perioden;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014*
CO2;Totaal (stationair + mobiel);mln kg;160800;172100;171100;176800;176900;180300;181700;176900;173200;173400;176400;171500;182900;170000;166900;166400;157900
CO2;Energiesector;mln kg;52700;61100;62300;66300;66500;67800;68900;66300;61300;64000;63800;62800;64700;60700;58100;57800;60600
CO2;08 Delfstoffenwinning (geen olie en gas);mln kg;100;100;200;200;400;400;500;400;400;300;300;100;200;300;300;200;200
CO2;10-12 Voedings-, genotmiddelenindustrie ;mln kg;4200;4100;4400;4200;4300;4100;4100;4000;3800;3900;3600;3300;3500;3400;3400;3300;3500
CO2;13-15 Textiel-, kleding-, lederindustrie;mln kg;300;400;400;300;300;300;200;200;200;200;200;200;200;200;200;200;100
CO2;16 Houtindustrie ;mln kg;0;0;100;0;0;0;0;0;0;0;0;100;0;100;100;0;60
CO2;17-18 Papier- en grafische industrie ;mln kg;1700;1400;1600;1500;1500;1500;1500;1700;1600;1400;1200;1100;1200;1100;1100;1000;1000
CO2;20-21 Chemie en farmaceutische industrie;mln kg;21800;17800;15500;14900;15200;15700;15500;15600;16300;16600;16100;15100;17100;17200;16900;16500;15100
CO2;2015 Kunstmestindustrie ;mln kg;6700;6300;5500;4500;4400;4400;4600;4600;4500;4400;4200;4200;4500;5300;5000;5300;5000
CO2;Chemische en farmaceutische producten ;mln kg;500;800;800;800;700;600;600;600;600;600;500;400;500;400;700;700;600
CO2;23 Bouwmaterialenindustrie;mln kg;2700;2700;2700;2600;2300;2200;2300;2200;2200;2300;2300;2100;2100;1900;1700;1600;1600
CO2;24 Basismetaalindustrie;mln kg;7600;7800;6400;6600;6700;7100;7300;7200;7100;7300;7300;6100;6900;7000;6400;6300;6200
CO2;IJzer- en staalindustrie ;mln kg;6900;7200;5700;5900;6100;6500;6500;6500;6400;6600;6600;5700;6400;6400;6100;6000;6100
CO2;29-30 Transportmiddelenindustrie ;mln kg;200;200;200;200;200;200;200;200;100;100;200;200;200;100;100;100;100
CO2;31-33 Overige industrie en reparatie ;mln kg;300;500;400;400;400;400;400;400;400;400;400;300;300;300;400;400;400
CO2;Particuliere huishoudens ;mln kg;19700;21100;19400;20200;19100;19500;19300;18400;17600;16200;18100;18200;21000;17100;18100;19200;16000
CO2;Landbouw (stationaire bronnen);mln kg;7800;8300;7500;7300;6800;6900;7100;7100;6500;6900;7600;7600;8600;7800;7400;7300;5700
CO2;E Waterbedrijven en afvalbeheer ;mln kg;600;1000;1800;1700;1800;1900;2200;2300;2300;2400;2500;2700;2600;2700;2800;3000;3100
CO2;G-U Dienstverlening;mln kg;8500;10100;8800;10500;11100;11700;11600;10000;11800;10000;11100;11300;13300;10000;11400;11900;9300
CO2;Vervoer;mln kg;26300;29300;32300;32900;33600;34100;34500;34700;35600;35300;35600;34200;34900;35200;33800;32800;30500
CO2;Railverkeer;mln kg;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
CO2;Wegverkeer;mln kg;25300;28300;31300;31800;32500;33100;33500;33600;34500;34100;34400;33000;33600;33800;32600;31500;29300
CO2;Scheepvaart;mln kg;700;800;800;900;900;800;800;900;1000;1000;1000;1100;1200;1200;1100;1100;1000
CO2;Luchtvaart;mln kg;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
CO2;Visserij;mln kg;1400;1300;1300;1300;1100;1000;900;900;900;800;700;700;700;600;600;600;600
CO2;Defensie-activiteiten;mln kg;400;400;400;300;400;300;300;300;300;300;300;300;300;300;200;200;200
CH4;Totaal (stationair + mobiel);mln kg;1317.42;1234.43;1020.39;976.30;917.32;872.25;843.80;819.05;802.60;807.26;817.66;808.86;807.24;786.27;769.67;769.13;753.58
CH4;Energiesector;mln kg;80.89;81.28;42.51;42.18;40.89;40.40;38.96;41.77;38.34;40.81;42.35;37.40;40.57;40.74;39.36;36.38;33.28
CH4;08 Delfstoffenwinning (geen olie en gas);mln kg;0.00;0.01;0.02;0.02;0.03;0.04;0.04;0.03;0.03;0.03;0.03;0.01;0.02;0.03;0.02;0.02;0.02
CH4;10-12 Voedings-, genotmiddelenindustrie ;mln kg;0.62;0.78;0.93;0.94;0.94;0.94;0.90;0.89;0.85;0.82;0.77;0.75;0.72;0.73;0.70;0.67;0.69
CH4;13-15 Textiel-, kleding-, lederindustrie;mln kg;0.03;0.04;0.04;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01
CH4;16 Houtindustrie ;mln kg;0.03;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
CH4;17-18 Papier- en grafische industrie ;mln kg;0.19;0.18;0.19;0.18;0.18;0.18;0.17;0.19;0.18;0.17;0.15;0.15;0.15;0.16;0.16;0.15;0.15
CH4;20-21 Chemie en farmaceutische industrie;mln kg;17.04;16.76;17.12;13.31;13.81;14.10;13.35;14.02;13.24;13.51;12.77;12.04;13.13;17.57;18.29;17.27;17.60
CH4;2015 Kunstmestindustrie ;mln kg;0.29;0.20;0.18;0.15;0.15;0.15;0.15;0.15;0.14;0.14;0.13;0.13;0.14;0.15;0.14;0.15;0.15
CH4;Chemische en farmaceutische producten ;mln kg;0.19;0.23;0.08;0.08;0.07;0.06;0.06;0.06;0.06;0.06;0.05;0.04;0.05;0.04;0.07;0.06;0.06
CH4;23 Bouwmaterialenindustrie;mln kg;0.27;0.40;0.62;0.48;0.37;0.37;0.35;0.36;0.35;0.36;0.33;0.29;0.27;0.26;0.25;0.24;0.24
CH4;24 Basismetaalindustrie;mln kg;0.18;0.18;0.16;0.15;0.17;0.15;0.15;0.15;0.16;0.15;0.15;0.12;0.15;0.15;0.14;0.14;0.13
CH4;IJzer- en staalindustrie ;mln kg;0.16;0.16;0.13;0.13;0.14;0.13;0.13;0.12;0.14;0.13;0.13;0.11;0.13;0.13;0.12;0.12;0.12
CH4;29-30 Transportmiddelenindustrie ;mln kg;0.00;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01
CH4;31-33 Overige industrie en reparatie ;mln kg;0.04;0.07;0.07;0.07;0.08;0.09;0.11;0.12;0.14;0.14;0.32;0.35;0.32;0.29;0.33;0.31;0.36
CH4;Particuliere huishoudens ;mln kg;21.30;21.67;19.91;20.09;19.19;19.52;19.35;18.95;18.31;17.04;18.40;18.50;20.55;17.85;18.65;19.54;17.38
CH4;Landbouw (stationaire bronnen);mln kg;604.63;588.27;527.93;522.75;495.51;485.37;485.55;484.91;490.45;508.19;530.30;538.51;543.20;536.90;529.46;539.61;537.39
CH4;E Waterbedrijven en afvalbeheer ;mln kg;582.69;514.72;400.78;362.87;331.97;296.34;271.97;243.64;226.28;211.25;197.77;187.62;174.67;164.04;154.96;147.58;139.57
CH4;G-U Dienstverlening;mln kg;1.62;4.39;6.01;5.45;5.31;5.52;5.06;5.05;5.06;5.15;5.53;4.99;4.74;4.37;4.32;4.27;4.01
CH4;Vervoer;mln kg;7.48;5.20;3.62;3.54;3.46;3.34;3.13;3.02;3.01;3.04;3.03;2.92;2.82;2.79;2.64;2.55;2.37
CH4;Railverkeer;mln kg;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.01
CH4;Wegverkeer;mln kg;7.38;5.09;3.50;3.42;3.33;3.22;3.01;2.89;2.88;2.90;2.89;2.77;2.67;2.64;2.50;2.40;2.23
CH4;Scheepvaart;mln kg;0.10;0.10;0.11;0.11;0.12;0.12;0.12;0.12;0.13;0.13;0.14;0.14;0.15;0.15;0.14;0.15;0.13
CH4;Luchtvaart;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
CH4;Visserij;mln kg;0.13;0.12;0.12;0.12;0.10;0.09;0.09;0.09;0.08;0.07;0.06;0.06;0.06;0.06;0.05;0.06;0.06
CH4;Defensie-activiteiten;mln kg;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
N2O;Totaal (stationair + mobiel);mln kg;59.09;59.50;52.54;49.27;46.54;46.20;47.45;46.46;45.93;40.09;27.52;26.82;26.42;26.12;25.60;26.17;26.22
N2O;Energiesector;mln kg;0.40;0.46;0.42;0.46;0.48;0.48;0.49;0.54;0.52;0.52;0.51;0.53;0.53;0.50;0.53;0.51;0.54
N2O;08 Delfstoffenwinning (geen olie en gas);mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;10-12 Voedings-, genotmiddelenindustrie ;mln kg;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
N2O;13-15 Textiel-, kleding-, lederindustrie;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;16 Houtindustrie ;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;17-18 Papier- en grafische industrie ;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;20-21 Chemie en farmaceutische industrie;mln kg;22.94;22.88;22.07;20.04;19.15;19.42;21.12;20.55;20.21;15.51;3.37;3.55;3.19;3.61;3.63;4.12;4.15
N2O;2015 Kunstmestindustrie ;mln kg;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;Chemische en farmaceutische producten ;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;23 Bouwmaterialenindustrie;mln kg;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.01;0.01;0.00;0.01;0.00;0.00;0.00;0.00
N2O;24 Basismetaalindustrie;mln kg;0.01;0.01;0.01;0.00;0.01;0.01;0.01;0.00;0.01;0.01;0.01;0.00;0.01;0.00;0.00;0.00;0.00
N2O;IJzer- en staalindustrie ;mln kg;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;29-30 Transportmiddelenindustrie ;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;31-33 Overige industrie en reparatie ;mln kg;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.04;0.04;0.04;0.03;0.04;0.04;0.04
N2O;Particuliere huishoudens ;mln kg;0.19;0.27;0.27;0.23;0.22;0.24;0.28;0.29;0.31;0.28;0.30;0.35;0.35;0.34;0.35;0.36;0.24
N2O;Landbouw (stationaire bronnen);mln kg;33.73;33.53;27.49;26.33;24.56;24.03;23.55;23.13;23.01;21.91;21.43;20.49;20.45;19.74;19.19;19.27;19.47
N2O;E Waterbedrijven en afvalbeheer ;mln kg;0.59;0.80;0.90;0.90;0.90;0.86;0.88;0.90;0.86;0.87;0.87;0.87;0.86;0.88;0.89;0.88;0.88
N2O;G-U Dienstverlening;mln kg;0.67;0.53;0.35;0.29;0.22;0.20;0.20;0.15;0.15;0.12;0.11;0.11;0.10;0.11;0.09;0.10;0.08
N2O;Vervoer;mln kg;0.34;0.82;0.83;0.82;0.80;0.77;0.73;0.69;0.67;0.68;0.71;0.71;0.72;0.74;0.71;0.73;0.66
N2O;Railverkeer;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;Wegverkeer;mln kg;0.32;0.79;0.81;0.80;0.78;0.75;0.71;0.67;0.65;0.66;0.68;0.68;0.69;0.70;0.68;0.70;0.63
N2O;Scheepvaart;mln kg;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
N2O;Luchtvaart;mln kg;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N2O;Visserij;mln kg;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.02
N2O;Defensie-activiteiten;mln kg;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 5-1-2016;;;;;;;;;;;;;;;;;;;
